Designator,Mid X,Mid Y,Rotation,Layer
D245,209.4,-120.375,270.0,bottom
D25,142.4,-86.375,270.0,bottom
D250,299.4,-138.0,270.0,bottom
D251,281.4,-138.0,270.0,bottom
D252,263.4,-135.25,270.0,bottom
D253,245.4,-133.125,270.0,bottom
D254,227.4,-135.25,270.0,bottom
D255,209.4,-137.375,270.0,bottom
D260,272.4,-155.5,270.0,bottom
D261,254.4,-154.375,270.0,bottom
D262,236.4,-154.375,270.0,bottom
D263,215.944655,-156.935353,261.94,bottom
D264,201.270584,-150.29981,340.37,bottom
D265,191.500001,-128.75,270.0,bottom
D30,52.4,-104.0,270.0,bottom
D31,70.4,-104.0,270.0,bottom
D32,88.4,-101.25,270.0,bottom
D33,106.4,-99.125,270.0,bottom
D34,124.4,-101.25,270.0,bottom
D35,142.4,-103.375,270.0,bottom
D40,52.4,-121.0,270.0,bottom
D41,70.4,-121.0,270.0,bottom
D42,88.4,-118.25,270.0,bottom
D43,106.4,-116.125,270.0,bottom
D44,124.4,-118.25,270.0,bottom
D45,142.4,-120.375,270.0,bottom
D50,52.4,-138.0,270.0,bottom
D51,70.4,-138.0,270.0,bottom
D52,88.4,-135.25,270.0,bottom
D53,106.4,-133.125,270.0,bottom
D54,124.4,-135.25,270.0,bottom
D55,142.4,-137.375,270.0,bottom
D60,79.4,-155.5,270.0,bottom
D61,97.4,-154.375,270.0,bottom
D62,115.4,-154.375,270.0,bottom
D63,136.005494,-154.80416,278.06,bottom
D64,160.623056,-164.616411,199.63,bottom
D65,160.5,-128.75,270.0,bottom
F1,172.5,-72.96,180.0,bottom
F2,166.75,-97.5,270.0,bottom
F201,194.563661,-71.461352,0.0,bottom
F202,200.25,-97.5,270.0,bottom
J1,168.779481,-62.769,180.0,bottom
J2,177.106,-93.68,270.0,bottom
J201,198.220519,-62.769,180.0,bottom
J202,189.894,-93.68,90.0,bottom
LED10,60.0,-67.3,0.0,bottom
LED11,78.0,-67.3,0.0,bottom
LED12,96.0,-64.55,0.0,bottom
LED13,114.0,-62.425,0.0,bottom
LED14,132.0,-64.55,0.0,bottom
LED15,150.0,-66.675,0.0,bottom
LED16,168.0,-108.175,0.0,bottom
LED20,60.0,-84.3,0.0,bottom
LED21,78.0,-84.3,0.0,bottom
LED210,307.0,-67.3,0.0,bottom
LED211,289.0,-67.3,0.0,bottom
LED212,271.0,-64.55,0.0,bottom
LED213,253.0,-62.425,0.0,bottom
LED214,235.0,-64.55,0.0,bottom
LED215,217.0,-66.675,0.0,bottom
LED216,199.0,-108.175,0.0,bottom
LED22,96.0,-81.55,0.0,bottom
LED220,307.0,-84.3,0.0,bottom
LED221,289.0,-84.3,0.0,bottom
LED222,271.0,-81.55,0.0,bottom
LED223,253.0,-79.425,0.0,bottom
LED224,235.0,-81.55,0.0,bottom
LED225,217.0,-83.675,0.0,bottom
LED23,114.0,-79.425,0.0,bottom
LED230,307.0,-101.3,0.0,bottom
LED231,289.0,-101.3,0.0,bottom
LED232,271.0,-98.55,0.0,bottom
LED233,253.0,-96.425,0.0,bottom
LED234,235.0,-98.55,0.0,bottom
LED235,217.0,-100.675,0.0,bottom
LED24,132.0,-81.55,0.0,bottom
LED240,307.0,-118.3,0.0,bottom
LED241,289.0,-118.3,0.0,bottom
LED242,271.0,-115.55,0.0,bottom
LED243,253.0,-113.425,0.0,bottom
LED244,235.0,-115.55,0.0,bottom
LED245,217.0,-117.675,0.0,bottom
LED25,150.0,-83.675,0.0,bottom
LED250,307.0,-135.3,0.0,bottom
LED251,289.0,-135.3,0.0,bottom
LED252,271.0,-132.55,0.0,bottom
LED253,253.0,-130.425,0.0,bottom
LED254,235.0,-132.55,0.0,bottom
LED255,217.0,-134.675,0.0,bottom
LED260,280.0,-152.8,0.0,bottom
LED261,262.0,-151.675,0.0,bottom
LED262,244.0,-151.675,0.0,bottom
LED263,223.091013,-153.196428,351.94,bottom
LED264,206.366843,-156.55106,70.37,bottom
LED265,199.0,-129.05,0.0,bottom
LED30,60.0,-101.3,0.0,bottom
LED31,78.0,-101.3,0.0,bottom
LED32,96.0,-98.55,0.0,bottom
LED33,114.0,-96.425,0.0,bottom
LED34,132.0,-98.55,0.0,bottom
LED35,150.0,-100.675,0.0,bottom
LED40,60.0,-118.3,0.0,bottom
LED41,78.0,-118.3,0.0,bottom
LED42,96.0,-115.55,0.0,bottom
LED43,114.0,-113.425,0.0,bottom
LED44,132.0,-115.55,0.0,bottom
LED45,150.0,-117.675,0.0,bottom
LED50,60.0,-135.3,0.0,bottom
LED51,78.0,-135.3,0.0,bottom
LED52,96.0,-132.55,0.0,bottom
LED53,114.0,-130.425,0.0,bottom
LED54,132.0,-132.55,0.0,bottom
LED55,150.0,-134.675,0.0,bottom
LED60,87.0,-152.8,0.0,bottom
LED61,105.0,-151.675,0.0,bottom
LED62,123.0,-151.675,0.0,bottom
LED63,143.908987,-153.196427,8.060000000000002,bottom
LED64,160.633156,-156.551059,289.63,bottom
LED65,168.0,-129.05,0.0,bottom
R10,172.55,-70.85,90.0,bottom
R11,173.45,-70.9,270.0,bottom
R15,172.18925,-124.193269,45.0,bottom
R16,164.1,-94.5,90.0,bottom
R2,165.0,-91.0,90.0,bottom
R202,192.5,-78.5,180.0,bottom
R204,206.5,-91.25,90.0,bottom
R205,201.0,-72.75,270.0,bottom
R206,197.059521,-74.318458,0.0,bottom
R207,207.42,-78.84,0.0,bottom
R208,207.42,-77.89,0.0,bottom
R210,191.770953,-71.470648,90.0,bottom
R211,191.653105,-69.271569,270.0,bottom
R215,194.81075,-124.193269,135.0,bottom
R216,203.58,-94.28,90.0,bottom
R4,177.6,-84.4,90.0,bottom
R5,166.0,-72.75,270.0,bottom
R6,171.25,-75.05,180.0,bottom
R7,165.34,-76.08,270.0,bottom
R8,164.39,-76.08,270.0,bottom
SW1,135.434131,-149.327809,180.0,bottom
SW2,143.274847,-148.958973,180.0,bottom
SW201,206.19,-96.93,0.0,bottom
SW202,190.59,-84.51,270.0,bottom
U1,166.0,-84.0,0.0,bottom
U2,166.7,-93.6025,90.0,bottom
U201,199.5,-79.5,90.0,bottom
U202,200.3,-93.6025,270.0,bottom
U203,205.25,-87.0,0.0,bottom
U204,198.73,-72.59,0.0,bottom
U205,205.5,-100.5,0.0,bottom
U206,191.187382,-123.517712,0.0,bottom
U3,173.5,-78.25,270.0,bottom
U4,168.27,-72.59,0.0,bottom
U5,161.5,-100.5,180.0,bottom
U6,175.812618,-123.517712,180.0,bottom
X1,160.48,-90.26,90.0,bottom
X201,193.24,-73.98,180.0,bottom
